,,,,,,,,,,,,,,,,,,,,,
,№,Контрагент,,,,,,,,,договр,,МП,,,,,БУГАЛТЕРИЯ,,,
,546,310339007,"""MEYRAN-ALIHAN"" MCHJ","Республика Каракалпакстан, БЕРУНИЙСКИЙ РАЙОН, А.Темур МФЙ, Фарогон кучаси, 3/А-уй  ",886504886,direktor,TURJANOV NURLAN KANATOVICH,,01037,20208000205628224001,"761  от  20,06,2025",ожидания,,,,,,,,,
,547,200597479,"""LUKMONI-XAKIM"" MCHJ","Ташкентская область, ГОРОД АНГРЕН, OBOD TURMUSH KO'CHASI 6-UY  ",909997890,direktor,PULATOVA MAMURAXON AYUBXON QIZI,,00461,20208000900130706001,"762  от  20,06,2025",ожидания,,,,,,,,,
,548,,,,,direktor,,,,,,,,,,,,,,,
,549,,,,,direktor,,,,,,,,,,,,,,,
,550,304965892,"""OLAM PHARM SAMARQAND"" MCHJ"," Samarqand viloyati, Samarqand sh. Mirzo Ulug'bek ko'chasi, 74-uy",,direktor,"MURADOV JAMSHID BAXODIROVICH
",,00491,20208000800784601001,"765  от  23,06,2025",принито,Komil ,,,,,,,,
,551,306984100,"""ISHONCH 757"" MCHJ ","Farg'ona viloyati, Quvasoy sh. Mirishkor 
ko'chasi, 643-uy",939721818,direktor,"DADAJONOV SUXROBJON 
SOLIJON O‘G‘LI",,00083 ,20208000905157415001,"766  от  23,06,2025",ожидания,,,,,,,,,
,552,203729509,"""TOXIRBEK-2001"" XK","Ферганская область, ГОРОД ФЕРГАНА, МАРГИЛОН 23 21  ",,direktor,KODIROV MIRZOXID TULANOVICH,,00440,20208000704158336001,"767  от  26,06,2025",,,,,,,,,,
,553,,,,,direktor,,,,,,,,,,,,,,,
,554,,,,,direktor,,,,,,,,,,,,,,,
,555,,,,,direktor,,,,,,,,,,,,,,,
,556,,,,,direktor,,,,,,,,,,,,,,,
,557,,,,,direktor,,,,,,,,,,,,,,,
,558,,,,,direktor,,,,,,,,,,,,,,,
,559,,,,,direktor,,,,,,,,,,,,,,,
,560,,,,,direktor,,,,,,,,,,,,,,,
,561,,,,,direktor,,,,,,,,,,,,,,,
,562,,,,,,,,,,,,,,,,,,,,
,563,,,,,,,,,,,,,,,,,,,,
,564,,,,,,,,,,,,,,,,,,,,
,565,,,,,,,,,,,,,,,,,,,,
,566,,,,,,,,,,,,,,,,,,,,
,567,,,,,,,,,,,,,,,,,,,,
,568,,,,,,,,,,,,,,,,,,,,
,569,,,,,,,,,,,,,,,,,,,,
,570,,,,,,,,,,,,,,,,,,,,
,571,,,,,,,,,,,,,,,,,,,,
,572,,,,,,,,,,,,,,,,,,,,
,573,,,,,,,,,,,,,,,,,,,,
,574,,,,,,,,,,,,,,,,,,,,
,575,,,,,,,,,,,,,,,,,,,,
,576,,,,,,,,,,,,,,,,,,,,
,577,,,,,,,,,,,,,,,,,,,,
,578,,,,,,,,,,,,,,,,,,,,
,579,,,,,,,,,,,,,,,,,,,,
,580,,,,,,,,,,,,,,,,,,,,
,581,,,,,,,,,,,,,,,,,,,,
,582,,,,,,,,,,,,,,,,,,,,
,583,,,,,,,,,,,,,,,,,,,,
,584,,,,,,,,,,,,,,,,,,,,
,585,,,,,,,,,,,,,,,,,,,,
,586,,,,,,,,,,,,,,,,,,,,
,587,,,,,,,,,,,,,,,,,,,,
,588,,,,,,,,,,,,,,,,,,,,
,589,,,,,,,,,,,,,,,,,,,,
,590,,,,,,,,,,,,,,,,,,,,
,591,,,,,,,,,,,,,,,,,,,,
,592,,,,,,,,,,,,,,,,,,,,
,593,,,,,,,,,,,,,,,,,,,,
,594,,,,,,,,,,,,,,,,,,,,
,595,,,,,,,,,,,,,,,,,,,,
,596,,,,,,,,,,,,,,,,,,,,
,597,,,,,,,,,,,,,,,,,,,,
,598,,,,,,,,,,,,,,,,,,,,
,599,,,,,,,,,,,,,,,,,,,,
,600,,,,,,,,,,,,,,,,,,,,
,601,,,,,,,,,,,,,,,,,,,,
,602,,,,,,,,,,,,,,,,,,,,
,603,,,,,,,,,,,,,,,,,,,,
,604,,,,,,,,,,,,,,,,,,,,
,605,,,,,,,,,,,,,,,,,,,,
,606,,,,,,,,,,,,,,,,,,,,
,607,,,,,,,,,,,,,,,,,,,,
,608,,,,,,,,,,,,,,,,,,,,
,609,,,,,,,,,,,,,,,,,,,,
,610,,,,,,,,,,,,,,,,,,,,
,611,,,,,,,,,,,,,,,,,,,,
,612,,,,,,,,,,,,,,,,,,,,
,613,,,,,,,,,,,,,,,,,,,,
,614,,,,,,,,,,,,,,,,,,,,
